vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,"Bîn-á-chài kôaⁿ-liû ē lâi, chhēng khah chē saⁿ.","Bîn7-á1-chài kôaⁿ7-liû ē3 lâi, chhēng3 khah2 chē3 saⁿ.","明仔載寒流會來, 穿較濟衫.",A cold front is coming tomorrow; wear more clothes.
2,Góa àm-sî khiâ kha-ta̍h-chhia khì kong-hn̂g.,Góa1 àm2-sî khiâ7 kha7-ta̍h3-chhia khì2 kong7-hn̂g.,我暗時騎跤踏車去公園.,I rode a bicycle to the park at night.
3,Hit tâi kha-ta̍h-chhia chin súi.,Hit2 tâi7 kha7-ta̍h3-chhia chin7 súi.,彼台跤踏車真媠.,That bicycle is very nice-looking.
4,Ta̍k-ji̍t chò ūn-tōng tùi seng-khu hó.,Ta̍k3-ji̍t chò2 ūn3-tōng tùi2 seng7-khu hó.,逐日做運動對身軀好.,Daily exercise is good for the body.
5,Lé-pài-ji̍t sī hiu-hân ê sî-kan.,Lé1-pài2-ji̍t sī3 hiu7-hân7 ê7 sî7-kan.,禮拜日是休閒的時間.,Sunday is leisure time.
6,Ha̍k-hāu kin-á-ji̍t ū chin-chē oa̍h-tāng.,Ha̍k3-hāu kin7-á1-ji̍t ū3 chin7-chē3 oa̍h3-tāng.,學校今仔日有真濟活動.,The school has many activities today.
7,Sió-tī ē-hiáu phah nâ-kîu.,Sió1-tī ē3-hiáu1 phah2 nâ7-kîu.,小弟會曉拍籃球.,My little brother knows how to play basketball.
8,I-seng kā góa kóng ài chia̍h io̍h-á.,I7-seng kā3 góa1 kóng1 ài2 chia̍h3 io̍h-á.,醫生共我講愛食藥仔.,The doctor told me I have to take medicine.
9,Lāu-su hoan-hù ha̍k-seng tio̍h-ài jīn-chin tha̍k-chheh.,Lāu3-su hoan7-hù ha̍k3-seng tio̍h3-ài2 jīn3-chin tha̍k3-chheh.,老師吩咐學生著愛認真讀冊.,The teacher instructed the students to study hard.
10,Goán pa-pah ē-po· tiāⁿ-tiāⁿ khì sàn-pō·.,Goán1 pa7-pah ē-po· tiāⁿ3-tiāⁿ khì2 sàn2-pō·.,阮爸爸下晡定定去散步.,My father often goes for a walk in the afternoon.
11,I sin bé chi̍t tâi kong-lō·-chhia.,I7 sin7 bé1 chi̍t3 tâi7 kong7-lō·3-chhia.,伊新買一台公路車.,He recently bought a road bike.
12,Goán chhia-iú lóng chin gâu khiâ.,Goán1 chhia7-iú lóng1 chin7 gâu7 khiâ.,阮車友攏真𠢕騎.,Our cycling buddies all ride very well.
13,Lán chái-khí peh-tiám tī kong-hn̂g chi̍p-ha̍p.,Lán1 chái1-khí peh2-tiám tī3 kong7-hn̂g chi̍p3-ha̍p.,咱早起八點佇公園集合.,Let's gather at the park at 8 in the morning.
14,Hiah-ê lâng-kheh chē iû-lám-chhia khì A-lí-san.,Hiah2-ê7 lâng7-kheh chē3 iû7-lám1-chhia khì2 A7-lí1-san.,遐的人客坐遊覽車去阿里山.,Those tourists are taking a tour bus to Alishan.
15,Hit ê kì-liām kong-hn̂g ū chin-chē hoe.,Hit2 ê7 kì2-liām kong7-hn̂g ū3 chin7-chē3 hoe.,彼个紀念公園有真濟花.,That memorial park has many flowers.
16,I chhēng hit niá saⁿ chin súi.,I7 chhēng3 hit2 niá1 saⁿ chin7 súi.,伊穿彼領衫真媠.,She looks beautiful in that dress.
17,Hō· liam-mi ē thêng.,Hō· liam7-mi ē3 thêng.,雨連鞭會停.,The rain will stop right away.
18,"I siau-sit a, lóng bô khòaⁿ-tio̍h.","I7 siau7-sit a3, lóng1 bô7 khòaⁿ2-tio̍h.","伊消失矣, 攏無看著.",He has vanished; no one has seen him.
19,Goán chhia-tūi ū jī-cha̍p ê lâng.,Goán1 chhia7-tūi ū3 jī3-cha̍p3 ê7 lâng.,阮車隊有二十个人.,Our cycling team has 20 people.
20,Lú-hêng ē-tàng khòaⁿ-tio̍h chin-chē sin ê só·-chāi.,Lú1-hêng ē3-tàng2 khòaⁿ2-tio̍h3 chin7-chē3 sin7 ê7 só·1-chāi.,旅行會當看著真濟新的所在.,Travel lets you see many new places.
21,Hêng-chhun pòaⁿ-tó ū chin súi ê hái.,Hêng7-chhun pòaⁿ2-tó ū3 chin7 súi1 ê7 hái.,恆春半島有真媠的海.,The Hengchun Peninsula has a beautiful sea.
22,Goán pa-pah teh-boeh khiâ kha-ta̍h-chhia khoân-tó.,Goán1 pa7-pah teh2-boeh2 khiâ7 kha7-ta̍h3-chhia khoân7-tó.,阮爸爸咧欲騎跤踏車環島.,My father is about to bike around the island.
23,Phêⁿ-ô· ê hái chin chheng.,Phêⁿ7-ô· ê7 hái chin7 chheng.,澎湖的海真清.,The seas of Penghu are very clear.
24,Kim-mn̂g lī Tâi-oân chin hn̄g.,Kim7-mn̂g lī3 Tâi7-oân chin7 hn̄g.,金門離台灣真遠.,Kinmen is very far from Taiwan.
25,Hêng-chhun ê thiⁿ-khì chin sio-joa̍h.,Hêng7-chhun ê7 thiⁿ7-khì chin7 sio7-joa̍h.,恆春的天氣真燒熱.,The weather in Hengchun is very warm.
26,Hō· lo̍h kah góa tâm-kô·.,Hō· lo̍h3 kah2 góa1 tâm7-kô·.,雨落甲我澹糊.,The rain made me drenched.
27,I tī sim-koaⁿ-té siūⁿ chin-chē tāi-chì.,I7 tī3 sim7-koaⁿ7-té siūⁿ3 chin7-chē3 tāi3-chì.,伊佇心肝底想真濟代誌.,He thinks about many things deep in his heart.
28,Goán thoân-thé ta̍k lé-pài chi̍p-ha̍p chi̍t pái.,Goán1 thoân7-thé ta̍k3 lé1-pài chi̍p3-ha̍p chi̍t3 pái.,阮團體逐禮拜集合一擺.,Our group meets once a week.
29,Soaⁿ-téng ê kéng-tì chin súi.,Soaⁿ7-téng ê7 kéng1-tì chin7 súi.,山頂的景緻真媠.,The scenery on the mountaintop is beautiful.
30,Chit ê kong-hn̂g sī boeh kì-liām hit chân sū-kiāⁿ.,Chit2 ê7 kong7-hn̂g sī3 boeh2 kì2-liām hit2 chân7 sū3-kiāⁿ.,這个公園是欲紀念彼層事件.,This park commemorates that incident.
31,Khó-chhì ê chêng chi̍t-mê góa chin kín-tiuⁿ.,Khó1-chhì2 ê7 chêng chi̍t3-mê góa1 chin7 kín1-tiuⁿ.,考試的前一暝我真緊張.,I was very nervous the night before the exam.
32,Bó·-tan-siā tī Pîn-tang.,Bó·1-tan7-siā tī3 Pîn7-tang.,牡丹社佇屏東.,Botan is in Pingtung.
33,Pîn-tang ê chái-khí thiⁿ-khì chin hó.,Pîn7-tang ê7 chái1-khí thiⁿ7-khì chin7 hó.,屏東的早起天氣真好.,Pingtung's morning weather is great.
34,Chò-sit-lâng tī kang-liâu hioh-khùn.,Chò2-sit2-lâng tī3 kang7-liâu hioh2-khùn.,做穡人佇工寮歇睏.,The farmer rests at the work shed.
35,Pîⁿ-tē khiâ kha-ta̍h-chhia khah khin-sang.,Pîⁿ7-tē khiâ7 kha7-ta̍h3-chhia khah2 khin7-sang.,平地騎跤踏車較輕鬆.,It's easier to bike on flat ground.
36,Soaⁿ-tē ê thiⁿ-khì pìⁿ-hòa chin kín.,Soaⁿ7-tē ê7 thiⁿ7-khì pìⁿ2-hòa chin7 kín.,山地的天氣變化真緊.,Weather in mountain areas changes very fast.
37,Cha-mê góa khùn bô hó.,Cha7-mê góa1 khùn3 bô7 hó.,昨暝我睏無好.,I didn't sleep well last night.
38,"Goán peh chiūⁿ-soaⁿ, lóng chhoán-chhoán.","Goán1 peh2 chiūⁿ3-soaⁿ, lóng1 chhoán1-chhoán.","阮爬上山, 攏喘喘.",We climbed the mountain and were all out of breath.
39,Joa̍h-thiⁿ chò ūn-tōng chin gâu lâu-kōaⁿ.,Joa̍h3-thiⁿ chò2 ūn3-tōng chin7 gâu7 lâu7-kōaⁿ.,熱天做運動真𠢕流汗.,Exercising in summer makes you sweat a lot.
40,"Sî-kan teh-boeh kàu, koáⁿ-kín lâi.","Sî7-kan teh2-boeh2 kàu, koáⁿ1-kín lâi.","時間咧欲到, 趕緊來.","Time is almost up, hurry up."
41,Hit ê oē-bīn chin súi.,Hit2 ê7 oē3-bīn chin7 súi.,彼个畫面真媠.,That scene is very beautiful.
42,Hit kù ōe góa kì tī sim-koaⁿ-thâu.,Hit2 kù ōe góa1 kì2 tī3 sim7-koaⁿ7-thâu.,彼句話我記佇心肝頭.,I keep those words in my heart.
43,Lú-hêng ê lō·-tô· chin hn̄g.,Lú1-hêng ê7 lō·3-tô· chin7 hn̄g.,旅行的路途真遠.,The travel route is very long.
44,Hit chân sū-kiāⁿ tī Pîn-tang hoat-seng.,Hit2 chân7 sū3-kiāⁿ tī3 Pîn7-tang hoat2-seng.,彼層事件佇屏東發生.,That incident happened in Pingtung.
45,Tha̍k-chheh sī chin tiōng-iàu ê tāi-chì.,Tha̍k3-chheh sī3 chin7 tiōng3-iàu ê7 tāi3-chì.,讀冊是真重要的代誌.,Studying is a very important matter.
46,"Bóe-chhiú i koh sī lâi a.","Bóe1-chhiú i7 koh2 sī3 lâi a3.",尾手伊閣是來矣.,In the end he came after all.
47,"Saⁿ tâm a, ài ōaⁿ.","Saⁿ tâm a3, ài2 ōaⁿ.","衫澹矣, 愛換.",The clothes are wet; need to change.
48,"Ke-kiám chia̍h, mài kheh-khì.","Ke7-kiám chia̍h, mài2 kheh2-khì.","加減食, 莫客氣.","Eat a little, don't be polite."
49,Goán thiah-khui kha-ta̍h-chhia kā i hē tī chhia-tē.,Goán1 thiah2-khui kha7-ta̍h3-chhia kā3 i7 hē3 tī3 chhia7-tē.,阮拆開跤踏車共伊下佇車袋.,We took the bicycle apart and put it in the bike bag.
50,Kong-lō·-téng ū chin-chē chhia.,Kong7-lō·-téng ū3 chin7-chē3 chhia.,公路頂有真濟車.,There are many cars on the highway.
51,Soaⁿ-téng ê hong chin tōa.,Soaⁿ7-téng ê7 hong chin7 tōa.,山頂的風真大.,The wind on the mountaintop is very strong.
52,Hō· kā goán ak liáu liáu.,Hō· kā3 goán1 ak liáu1-liáu.,雨共阮沃了了.,The rain soaked us thoroughly.
53,Goán nn̄g ê sī hó hiaⁿ-tī.,Goán1 nn̄g3 ê7 sī3 hó1 hiaⁿ7-tī.,阮兩个是好兄弟.,We two are good brothers.
54,Goán ta̍k-ji̍t lóng ū chia̍h chá-tǹg.,Goán1 ta̍k3-ji̍t lóng1 ū3 chia̍h3 chá1-tǹg.,阮逐日攏有食早頓.,We eat breakfast every day.
55,Tâi-oân it-nî sì-kùi lóng ū hoe khui.,Tâi7-oân it2-nî sì2-kùi lóng1 ū3 hoe khui.,台灣一年四季攏有花開.,Flowers bloom all year round in Taiwan.
56,Goán tī Tâi-pak se̍h-thàu-thàu.,Goán1 tī3 Tâi7-pak se̍h3-thàu2-thàu.,阮佇台北踅透透.,We wandered all over Taipei.
57,Khiâ tiān-tōng-chhia khah séng-la̍t.,Khiâ7 tiān3-tōng7-chhia khah2 séng1-la̍t.,騎電動車較省力.,Riding an electric scooter saves more effort.
58,Hit pún chheh chin sim-sek.,Hit2 pún1 chheh chin7 sim7-sek.,彼本冊真心適.,That book is really interesting.
59,Chit-chūn ê thiⁿ-khì chin súi.,Chit2-chūn ê7 thiⁿ7-khì chin7 súi.,這陣的天氣真媠.,The weather right now is lovely.
60,Thâu-kang siōng tio̍h-ài jīn-chin.,Thâu7-kang siōng3 tio̍h3-ài2 jīn3-chin.,頭工上著愛認真.,The first task needs to be done diligently.
61,"Lí khì bé chhài, sī-sòa kā góa bé chi̍t koan khì-chúi.","Lí1 khì2 bé1 chhài, sī3-sòa kā3 góa1 bé1 chi̍t3 koan7 khì2-chúi.","你去買菜, 序紲共我買一罐汽水.","While you're out buying groceries, also pick me up a bottle of soda."
62,Hit pún chheh put-chí-á chhù-bī.,Hit2 pún1 chheh put2-chí1-á chhù3-bī.,彼本冊不止仔趣味.,That book is quite interesting.
63,Chhiáⁿ khiā tī chia tán góa.,Chhiáⁿ1 khiā tī3 chia tán1 góa.,請徛佇遮等我.,Please stand here and wait for me.
64,"Ûn-ûn-á khiâ, mài siuⁿ kín.","Ûn7-ûn-á khiâ, mài2 siuⁿ kín.","勻勻仔騎, 莫傷緊.","Ride slowly, don't go too fast."
65,Goán pa-pah chhiâng-chāi khì kong-hn̂g sàn-pō·.,Goán1 pa7-pah chhiâng7-chāi khì2 kong7-hn̂g sàn2-pō·.,阮爸爸常在去公園散步.,My father always goes to the park for a walk.
66,Lú-hêng ē-tàng hiáng-siū súi ê kéng-tì.,Lú1-hêng ē3-tàng2 hiáng1-siū súi1 ê7 kéng1-tì.,旅行會當享受媠的景緻.,Travel lets you enjoy beautiful scenery.
67,Hiok-hái tī Pîn-tang ê hái-piⁿ.,Hiok2-hái tī3 Pîn7-tang ê7 hái1-piⁿ.,旭海佇屏東的海邊.,Xuhai is by the seaside in Pingtung.
68,Káu-phâng lī Hêng-chhun bô hn̄g.,Káu1-phâng lī3 Hêng7-chhun bô7 hn̄g.,九鵬離恆春無遠.,Jiupeng isn't far from Hengchun.
69,Chit chōa lō· chin hn̄g.,Chit2 chōa lō· chin7 hn̄g.,這逝路真遠.,This stretch of road is very long.
70,Gōa-bīn lo̍h mn̂g-mn̂g-á-hō·.,Gōa3-bīn lo̍h3 mn̂g7-mn̂g-á-hō·.,外面落毛毛仔雨.,It's drizzling outside.
71,"Chúi léng-kì-kì, mài lim.","Chúi léng1-kì2-kì, mài2 lim.","水冷吱吱, 莫啉.",The water is freezing — don't drink it.
72,Lo̍h-hō· lo̍h kah góa phi̍h-phi̍h-chhoah.,Lo̍h3-hō· lo̍h3 kah2 góa1 phi̍h3-phi̍h3-chhoah.,落雨落甲我咇咇掣.,The rain left me trembling all over.
73,"Sui-bóng kôaⁿ, m̄-kú góa iáu boeh khiâ.","Sui7-bóng kôaⁿ, m̄3-kú1 góa1 iáu1 boeh2 khiâ.","雖罔寒, 毋過我猶欲騎.",Although it's cold I still want to ride.
74,Lí ê ūn-khì chin hó.,Lí1 ê7 ūn3-khì chin7 hó.,你的運氣真好.,You have very good luck.
75,I liû tī chia chia̍h-pn̄g.,I7 liû7 tī3 chia chia̍h3-pn̄g.,伊留佇遮食飯.,He stayed here to eat.
76,"Joa̍h-thiⁿ chò ūn-tōng, lâu-kōaⁿ sám-tih.","Joa̍h3-thiⁿ chò2 ūn3-tōng, lâu7-kōaⁿ sám1-tih.","熱天做運動, 流汗糝滴.",Exercising in summer makes the sweat drip everywhere.
77,Pn̄g khǹg siuⁿ kú ē phú.,Pn̄g khǹg2 siuⁿ kú ē3 phú.,飯囥傷久會殕.,Rice gets moldy if left too long.
78,"Chit ê pn̄g í-keng chhàu-phú a, mài chia̍h.","Chit2 ê7 pn̄g í1-keng7 chhàu2-phú a3, mài2 chia̍h.","這个飯已經臭殕矣, 莫食.",This rice already smells moldy — don't eat it.
79,Chò án-ni chiâⁿ chhin-chhiūⁿ chi̍t khang lia̍h siang chiah.,Chò án1-ni chiâⁿ7 chhin7-chhiūⁿ chi̍t3 khang7 lia̍h3 siang7 chiah.,做按呢誠親像一空掠雙隻.,Doing it this way is really like killing two birds with one stone.
80,Tâi-oân lâm-pō· sù-kùi jû-chhun.,Tâi7-oân lâm7-pō· sù2-kùi jû7-chhun.,台灣南部四季如春.,Southern Taiwan has spring-like weather year-round.
81,Mài chiù-chhām pa̍t-lâng.,Mài2 chiù2-chhām pa̍t3-lâng.,莫咒讖別人.,Don't curse other people.
82,Hu̍t-kàu chú-tiuⁿ m̄-thang sat-seng.,Hu̍t3-kàu chú1-tiuⁿ m̄3-thang7 sat2-seng.,佛教主張毋通殺生.,Buddhism teaches not to take the lives of living things.
83,I poa̍h-tó kah phòa-phôe lâu-hoeh.,I7 poa̍h3-tó kah2 phòa2-phôe lâu7-hoeh.,伊跋倒甲破皮流血.,He fell and ended up skinned and bleeding.
84,"Tio̍h chhùi-khí-kin kā leh, lâi tō͘-kòe chit ê khùn-lân.","Tio̍h3 chhùi2-khí1-kin kā3-leh, lâi7 tō·3-kòe chit2 ê7 khùn3-lân.","著喙齒根咬咧, 來度過這个困難.",We have to grit our teeth and get through this difficulty.
85,"Soaⁿ-téng chìⁿ-hong, chin léng.","Soaⁿ7-téng chìⁿ2-hong, chin7 léng.","山頂箭風, 真冷.",The piercing wind on the mountaintop is very cold.
86,Gín-á tī hái-piⁿ teh chìⁿ-chúi.,Gín1-á tī3 hái1-piⁿ teh2 chìⁿ2-chúi.,囡仔佇海邊咧濺水.,The kids are splashing water at the seaside.
87,Kiám-chhái i bē lâi.,Kiám1-chhái i7 bē3 lâi.,敢採伊袂來.,Maybe he won't come.
88,Goán tiāⁿ-tiāⁿ tī Tâi-pak kòe-mê.,Goán1 tiāⁿ3-tiāⁿ tī3 Tâi7-pak kòe2-mê.,阮定定佇台北過暝.,We often stay overnight in Taipei.
89,Keh-tńg-kang i tio̍h boeh kàu Pîn-tang.,Keh2-tńg1-kang i7 tio̍h3 boeh2 kàu2 Pîn7-tang.,隔轉工伊著欲到屏東.,The next day he was supposed to arrive in Pingtung.
90,Khiâ kha-ta̍h-chhia chiūⁿ-soaⁿ chin chia̍h-la̍t.,Khiâ7 kha7-ta̍h3-chhia chiūⁿ3-soaⁿ chin7 chia̍h3-la̍t.,騎跤踏車上山真食力.,Riding a bike up the mountain is very strenuous.
91,Tī chhù-lāi chin sio-lō.,Tī3 chhù-lāi chin7 sio7-lō.,佇厝內真燒烙.,It's nice and warm inside the house.
92,"Tī chit ê chōng-hóng-hā, lán bē-tàng kè-sio̍k.","Tī3 chit2 ê7 chōng3-hóng1-hā, lán1 bē3-tàng2 kè2-sio̍k.","佇這个狀況下, 咱袂當繼續.",Under these circumstances we cannot continue.
93,Hó pêng-iú sio-thīn pang-chān.,Hó1 pêng7-iú sio7-thīn pang7-chān.,好朋友相伨幫贊.,Good friends support each other.
94,Gín-á kâm thn̂g-á tī chhùi-lāi.,Gín1-á kâm thn̂g7-á tī3 chhùi3-lāi.,囡仔含糖仔佇喙內.,The child is holding candy in his mouth.
95,Hāⁿ-kòe lâi.,Hāⁿ3-kòe lâi.,迒過來.,Step across over here.
96,"Ka-siōng kin-á-ji̍t lo̍h-hō·, lán mài chhut-khì.","Ka7-siōng kin7-á1-ji̍t lo̍h3-hō·, lán1 mài2 chhut-khì.","加上今仔日落雨, 咱莫出去.","On top of that, it's raining today, so let's not go out."
97,Lo̍h-hō· tio̍h-ài chhēng hō·-moa.,Lo̍h3-hō· tio̍h3-ài2 chhēng3 hō·3-moa.,落雨著愛穿雨幔.,When it rains you should put on a rain cape.
98,Mài hō· kui-kí sok-pa̍k.,Mài2 hō· kui7-kí sok2-pa̍k.,莫予規矩束縛.,Don't be bound by rules.
99,I bô lâi ê iân-kò· góa m̄-chai.,I7 bô7 lâi ê7 iân7-kò· góa1 m̄3-chai.,伊無來的緣故我毋知.,I don't know the reason he didn't come.
100,Pak-pō· kin-á-ji̍t thàu-hong.,Pak2-pō· kin7-á1-ji̍t thàu2-hong.,北部今仔日透風.,It's windy in the north today.
101,Goán chhù-téng ū chin-chē chhù-chiáu-á.,Goán1 chhù2-téng ū3 chin7-chē3 chhù2-chiáu1-á.,阮厝頂有真濟厝鳥仔.,There are many sparrows on our roof.
102,Phêⁿ-ô· ū chin-chē sió-tó.,Phêⁿ7-ô· ū3 chin7-chē3 sió1-tó.,澎湖有真濟小島.,Penghu has many small islands.
103,I poa̍h-tó kah chhè-siong.,I7 poa̍h3-tó kah2 chhè2-siong.,伊跋倒甲擦傷.,He fell and got an abrasion.
104,Lāu-su ê chek-jīm chin tāng.,Lāu3-su ê7 chek2-jīm chin7 tāng.,老師的責任真重.,A teacher's responsibility is heavy.
105,"Thiⁿ àm a, ài tńg-khì.","Thiⁿ àm a3, ài2 tńg-khì.","天暗矣, 愛轉去.",It's getting dark — we should go home.
106,Chi̍t kong-kin ū chi̍t-chheng kong-kek.,Chi̍t3 kong7-kin ū3 chi̍t3-chheng7 kong7-kek.,一公斤有一千公克.,One kilogram has one thousand grams.
107,Goán pa-pah ê kha-thâu-u thiàⁿ.,Goán1 pa7-pah ê7 kha7-thâu7-u thiàⁿ.,阮爸爸的跤頭趺疼.,My father's knee hurts.
108,I khiâ chhia lōng-tio̍h pa̍t-lâng.,I7 khiâ7 chhia lōng3-tio̍h pa̍t3-lâng.,伊騎車撞著別人.,He was riding and bumped into someone.
109,Lō·-kháu chin chē chhia.,Lō·3-kháu chin7 chē3 chhia.,路口真濟車.,There are many cars at the intersection.
110,Góa ê kha-ta̍h-chhia chhia-liām pháiⁿ--khì.,Góa1 ê7 kha7-ta̍h3-chhia chhia7-liām pháiⁿ1-khì.,我的跤踏車車鏈歹去.,My bicycle chain broke.
111,Su-tong-sî i iáu sī sè-hàn gín-á.,Su7-tong7-sî i7 iáu1 sī3 sè2-hàn gín1-á.,斯當時伊猶是細漢囡仔.,At that time he was still a small child.
112,Lán nn̄g ê sio-kēng kòe chit ê khùn-lân.,Lán1 nn̄g3 ê7 sio7-kēng kòe2 chit2 ê7 khùn3-lân.,咱兩个相挺過這个困難.,The two of us supported each other through this difficulty.
113,Lí mài tī chia lōng-tiûⁿ.,Lí1 mài2 tī3 chia lōng3-tiûⁿ.,你莫佇遮弄場.,Don't cause a scene here.
114,"Khiâ chhia siuⁿ chē, kah-au-tú thiàⁿ.","Khiâ7 chhia siuⁿ chē, kah2-au7-tú thiàⁿ.","騎車傷濟, 跤後肚疼.",Riding too much makes my calves hurt.
115,Chit ê í-chū-á chin nńg.,Chit2 ê7 í1-chū3-á chin7 nńg.,這个椅苴仔真軟.,This chair cushion is very soft.
116,"Chhia lāu-iû, ài kā siu-lí.","Chhia lāu3-iû, ài2 kā3 siu7-lí.","車漏油, 愛共修理.",The car is leaking oil — need to fix it.
117,Bîn-á-chài goán boeh chhut-soaⁿ.,Bîn7-á1-chài goán1 boeh2 chhut2-soaⁿ.,明仔載阮欲出山.,Tomorrow we hold the funeral procession.
118,I sī Lāu-su ê chō·-lí.,I7 sī3 Lāu3-su ê7 chō·3-lí.,伊是老師的助理.,He is the teacher's assistant.
119,Bîn-nî ū soán-kí.,Bîn7-nî ū3 soán1-kí.,明年有選舉.,Next year there will be an election.
